"FREQ","R1(1)[X=0.00]","R1(1)[X=100m]","R1(1)[X=200m]","R1(1)[X=300m]","R1(1)[X=400m]","R1(1)[X=500m]","R1(1)[X=600m]","R1(1)[X=700m]","R1(1)[X=800m]","R1(1)[X=900m]","R1(1)[X=1.00]"
1452252.252,0.00377591,0.00377591,0.00377591,0.00377591,0.00377591,0.00377591,0.00377591,0.00377591,0.00377591,0.00377591,0.00377591
1460160.16,0.00379825,0.00379825,0.00379825,0.00379825,0.00379825,0.00379825,0.00379825,0.00379825,0.00379825,0.00379825,0.00379825
1468068.068,0.00382063,0.00382063,0.00382063,0.00382063,0.00382063,0.00382063,0.00382063,0.00382063,0.00382063,0.00382063,0.00382063
1475975.976,0.00384304,0.00384304,0.00384304,0.00384304,0.00384304,0.00384304,0.00384304,0.00384304,0.00384304,0.00384304,0.00384304
1483883.884,0.00386548,0.00386548,0.00386548,0.00386548,0.00386548,0.00386548,0.00386548,0.00386548,0.00386548,0.00386548,0.00386548
1491791.792,0.00388795,0.00388795,0.00388795,0.00388795,0.00388795,0.00388795,0.00388795,0.00388795,0.00388795,0.00388795,0.00388795
1499699.7,0.00391045,0.00391045,0.00391045,0.00391045,0.00391045,0.00391045,0.00391045,0.00391045,0.00391045,0.00391045,0.00391045
1507607.608,0.00393299,0.00393299,0.00393299,0.00393299,0.00393299,0.00393299,0.00393299,0.00393299,0.00393299,0.00393299,0.00393299
1515515.516,0.00395555,0.00395555,0.00395555,0.00395555,0.00395555,0.00395555,0.00395555,0.00395555,0.00395555,0.00395555,0.00395555
1523423.423,0.00397815,0.00397815,0.00397815,0.00397815,0.00397815,0.00397815,0.00397815,0.00397815,0.00397815,0.00397815,0.00397815
